#separator:Semicolon
#html:true
#notetype:Basic
#deck:Épistémologie - CM5
#tags:epistemologie

Question;Réponse
"Quel est le principe éducatif central de Rousseau ?";"« L'enfant naît bon et c'est la société qui le corrompt. » L'éducation doit <b>préserver l'enfant de la corruption sociale</b> et créer des conditions favorables à l'auto-construction de sa personnalité, en respectant le rythme naturel du développement."
"Qui est Wilhelm Preyer et pourquoi est-il important ?";"Physiologiste et psychologue allemand (1841-1897). Son livre <i>Die Seele des Kindes</i> (1882) est considéré comme le <b>premier grand livre de la psychologie moderne de l'enfant</b>. Il établit l'étude de l'enfant sur des bases scientifiques et pose les problèmes de genèse que Binet et Piaget examineront."
"Qui est Stanley Hall et quelle est sa contribution ?";"Premier vrai psychologue de l'enfant. Crée le <b>premier laboratoire de psychologie de l'enfant en 1883</b> (Johns Hopkins University). Il développe la <b>paidologie</b> et généralise l'observation. Sa théorie : l'ontogénie récapitule la phylogénie. Superviseur de nombreux psychologues majeurs (Gesell, Terman, Dewey)."
"Qu'est-ce que la théorie de la récapitulation (Hall / Haeckel) ?";"L'<b>ontogénèse récapitule la phylogénèse</b> : le développement individuel de l'organisme reproduit les étapes de l'évolution de l'espèce. Appliqué à l'enfant : avant 6-7 ans = esprit animal, à 8 ans = début des apprentissages formels, à l'adolescence = début du vrai raisonnement."
"Quel est le rôle de Darwin dans la naissance de la psychologie du développement ?";"Son <i>Origine des espèces</i> (1859) amène à considérer l'intelligence comme une <b>conquête biologique pour la survie</b>. Ses observations de son propre fils (publiées 1877) révèlent les réflexes du nouveau-né. Il contribue à l'approche génétique (au sens de genèse) de l'intelligence."
"Qu'est-ce que l'épistémologie ?";"1. Étude critique des sciences, destinée à déterminer leur origine logique, leur valeur et leur portée (théorie de la connaissance).<br>2. « Étude de la constitution des connaissances valables » (Piaget)."
"Quelle est la différence entre dualisme et monisme (physicalisme) ?";"<b>Dualisme</b> (Platon, Aristote, Descartes) : l'âme/esprit est une entité distincte du corps.<br><b>Monisme / Physicalisme</b> : toute entité existante est de nature physique. Réductionnisme vs matérialisme émergent."
"Quel est le positionnement cartésien sur le corps et l'esprit ?";"Descartes : l'âme (source de pensée et raison) échappe à la pensée mécaniste. Les animaux sont des machines sans âme. L'âme est liée au corps par la <b>glande pinéale</b>, mue par les « esprits animaux »."
"Qu'est-ce que le Conatus chez Spinoza ?";"Chaque être s'exerce à <b>persévérer dans son être</b>. Spinoza rejette le dualisme cartésien : le mental et le physique sont différents aspects d'une même substance (« Deus sive Natura »). Il réaffirme la primauté du corps à travers le désir (affects, passions)."
"Qu'est-ce que le positivisme d'Auguste Comte ?";"Abandon du « pourquoi » au profit du seul « comment » : la recherche des <b>lois effectives gouvernant les phénomènes</b>. L'existence des êtres est subordonnée à leur constitution et au « milieu ». Le scientisme propose d'organiser scientifiquement l'humanité."
"Quelles sont les 3 propositions de la phrénologie de Gall ?";"1. L'esprit est composé de modules mentaux séparables.<br>2. Ces modules sont <b>localisés dans des régions cérébrales spécifiques</b>.<br>3. Ces régions sont liées à des traits topographiques à la surface du crâne. Flourens s'y oppose."
"Qu'apporte Claude Bernard à la méthode scientifique ?";"Il distingue l'empirisme (observations non systématiques) de la <b>méthode expérimentale</b> (contrôle des paramètres, test d'hypothèses, principe <i>ceteris paribus</i>). Il accuse les empiristes de chercher des preuves pour confirmer leurs théories plutôt que de les réfuter."
"Qui est Théodule Ribot et quelle est son importance ?";"Psychologue français (1839-1916), il obtient la <b>première chaire de psychologie expérimentale et comparée</b> au Collège de France (1889). Défend une psychologie purement expérimentale centrée sur les phénomènes, leurs lois et causes immédiates."
"Qu'est-ce que la psychologie cognitive selon Ulric Neisser (1967) ?";"L'étude scientifique de la cognition. « Le terme cognition renvoie à tous les processus par lesquels le stimulus sensoriel est transformé, élaboré, mémorisé, retrouvé et réutilisé. » Elle s'oppose à la fois au béhaviorisme et à la métapsychologie."
"Qu'est-ce que l'argument de la réalisabilité multiple (Putnam) ?";"« Une même propriété mentale peut être instanciée dans des unités physiques différentes » — justifie le <b>matérialisme non réductionniste</b> : le mental ne se réduit pas entièrement aux états cérébraux. Un même état mental peut correspondre à différents états physiques."
"Quels sont les 4 courants théorico-épistémologiques de la psychologie sociale selon Gergen & Gergen (1984) ?";"1. <b>Béhaviorisme radical</b> (S→R, boîte noire, Allport 1924)<br>2. <b>Néo-béhaviorisme</b> (S→O→R, mécanismes internes déclenchés par l'environnement, Bandura 1977)<br>3. <b>Orientation cognitive</b> (rôle des processus de pensée, Lewin 1951)<br>4. <b>Règles et rôles / interactionnisme symbolique</b> (Goffman, Becker)"
"Qu'est-ce que l'apprentissage vicariant chez Bandura ?";"L'<b>apprentissage par observation d'un modèle</b> : la simple exposition à un modèle entraîne l'acquisition de comportements conformes à ce modèle, sans récompense directe."
"Qu'est-ce que la Recherche-Action selon Lewin (1946) ?";"Une façon de faire de la recherche qui génère un savoir sur un système social en même temps qu'elle le change. Double fonction : <b>résoudre des problèmes pratiques</b> ET <b>contribuer à l'élaboration théorique</b>. Posture fondatrice en psychologie sociale."
"Qu'est-ce que le « moi en miroir » (looking-glass self) chez Cooley ?";"L'image et l'estime de soi se constituent à partir des images et jugements que nous renvoie autrui. « La conscience de soi naît de l'interaction avec les autres personnes. »"
"Quelle est la thèse principale de G.H. Mead sur le soi ?";"Le soi est une <b>structure sociale</b> qui naît des interactions quotidiennes. Il se développe grâce à la capacité humaine de prendre le rôle d'autrui (<b>autrui généralisé</b>). Distinction : le <b>Je</b> (réaction aux attitudes des autres) vs le <b>Moi</b> (ensemble organisé des attitudes des autres qu'on assume soi-même)."
"Quelle est la différence entre PSP et PSS en psychologie sociale (Papastamou) ?";"<b>PSP</b> (Psychologie Sociale Psychologique) : s'intéresse aux mécanismes intra-individuels et aux relations interpersonnelles.<br><b>PSS</b> (Psychologie Sociale Sociologique) : s'intéresse aux relations sociales et aux facteurs idéologiques et culturels."
"Quels sont les 4 niveaux d'analyse en psychologie sociale (Papastamou) ?";"1. <b>Intra-individuel</b><br>2. <b>Inter-individuel ou situationnel</b><br>3. <b>Positionnel</b><br>4. <b>Idéologique et culturel</b> → les niveaux 1 et 2 relèvent plutôt de la PSP, les niveaux 3 et 4 de la PSS"
"Qu'est-ce que la réfutabilité (falsifiabilité) comme critère scientifique ?";"Critère proposé par Popper : une théorie est scientifique si elle peut être <b>mise en défaut par des faits empiriques</b>. Une théorie qui ne peut jamais être réfutée (interprète tous les faits dans son sens) n'est pas scientifique. Exemple : la psychanalyse est critiquée pour ne jamais pouvoir être réfutée."
"Quelle critique Albert Ellis adresse-t-il à la psychanalyse ?";"Après 6 ans de pratique psychanalytique, Ellis conclut qu'<b>interpréter des significations ne suffit pas</b> à se libérer de troubles. Il faut activement construire de nouvelles croyances et expérimenter de nouvelles actions → il développe la « Thérapie Rationnelle » (ancêtre des TCC)."
"Quelles sont les 4 caractéristiques de la psychologie sociale moderne ?";"1. Influencée par les <b>événements socio-historiques</b> (guerres, idéologies, évolutions sociétales)<br>2. Développée d'abord aux <b>États-Unis</b>, puis essor d'une psychologie sociale européenne plus autonome (années 60-70)<br>3. Discipline en <b>mouvement</b> (grande hétérogénéité épistémologique, théorique, méthodologique)<br>4. Tournée vers <b>l'application</b> (répondre à la demande sociale)"
