#separator:Semicolon
#html:true
#notetype:Basic
#deck:Psychologie Différentielle
#tags:psychologie-differentielle differences-individuelles

Question;Réponse
"Quelles sont les 3 dimensions fondamentales du sentiment amoureux selon l'analyse factorielle ?";"1. <b>Intimité</b> (la plus corrélée avec les deux autres, donc la plus fondamentale)<br>2. <b>Engagement</b><br>3. <b>Passion</b><br>Application clinique : un thérapeute de couple peut évaluer le niveau de chaque partenaire sur ces 3 dimensions et travailler à leur amélioration."
"Quelle est la fonction de l'intelligence selon Binet ?";"Fonction <b>adaptative</b> : « Elle n'existe que parce qu'elle sert à quelque chose ; elle sert à nous adapter mieux au milieu physique de la nature et au milieu moral de nos semblables. » L'intelligence permet à l'individu de comprendre et d'anticiper son environnement physique et social pour mieux s'y adapter."
"Quels sont les 3 angles d'approche de l'intelligence ?";"1. <b>Approche situationnelle</b> : l'intelligence comme capacité à résoudre des problèmes nouveaux (processus : représentation de l'espace problème, identification des caractéristiques pertinentes, planification).<br>2. <b>Approche temporelle</b> : l'intelligence conduit à des apprentissages (associatif, par observation, par sérendipité).<br>3. <b>Approche différentielle</b> : différences interindividuelles mesurées par des tests (QI, facteur g, etc.)."
"Quels processus cognitifs la résolution de problèmes engage-t-elle ?";"<b>Fonctions mnésiques</b> : mémoire de travail (planification, tour de Hanoï) + mémoire à long terme (concepts, connaissances).<br><b>Fonctions exécutives</b> : planification, flexibilité, contrôle attentionnel, inhibition."
"Quelle est la différence entre intelligence fluide et intelligence cristallisée (Cattell et Horn) ?";"<b>Intelligence fluide (Gf)</b> : raisonnement inductif et déductif, capacité à résoudre des problèmes nouveaux. Pic tôt dans la vie adulte, puis déclin.<br><b>Intelligence cristallisée (Gc)</b> : vocabulaire, concepts, connaissances accumulées. Continue de se développer jusqu'à un âge avancé.<br>⚠️ La part du génétique est paradoxalement plus importante pour l'intelligence <b>cristallisée</b>."
"Quelle est l'hypothèse de l'investissement (Cattell) pour expliquer la corrélation entre Gf et Gc ?";"Quand un individu <b>investit de l'énergie dans le raisonnement</b> (intelligence fluide) pour comprendre son environnement et en découvrir les règles, il construit simultanément des <b>connaissances et concepts</b> (intelligence cristallisée). Le raisonnement fluide alimente la cristallisation. C'est pourquoi Gf et Gc sont corrélées, mais une seule intelligence peut s'investir dans des domaines très divers."
"Quel est le modèle bifactoriel de Spearman ?";"Spearman, en calculant des corrélations entre épreuves intellectuelles chez plus de 1000 enfants, observe un <b>mutualisme positif</b> (positive manifold) : les scores à <i>toutes</i> les épreuves sont corrélés positivement.<br>Il en déduit un <b>facteur g</b> (facteur général d'intelligence) + des facteurs spécifiques (S1, S2…) propres à chaque épreuve.<br>Interprétation du facteur g : énergie mentale, puis <b>éduction de relations</b> (découvrir les règles) et <b>éduction de corrélats</b> (appliquer les règles)."
"Quel est le modèle multidimensionnel de Thurstone et pourquoi diffère-t-il de Spearman ?";"Thurstone (200 étudiants) n'observe <b>pas de facteur g</b> et identifie <b>7 dimensions indépendantes</b> : vitesse perceptive, aptitude numérique, fluidité verbale, aptitude verbale, aptitude spatiale, mémoire, raisonnement.<br>Explication : ses participants (étudiants en 1935) formaient une <b>élite intellectuelle homogène</b>. Dans un groupe homogène, le facteur g s'efface et les différences entre dimensions spécifiques deviennent visibles."
"Qu'est-ce que le modèle hiérarchique CHC ?";"<b>Cattell-Horn-Carroll</b> : modèle faisant actuellement consensus (méta-analyse de Carroll).<br>Structure hiérarchique à 3 niveaux :<br>1. <b>Facteur g</b> (niveau le plus général)<br>2. <b>Dimensions larges</b> corrélées entre elles (au premier rang : Gf et Gc, puis mémoire, vitesse de traitement, aptitudes spatiales, etc.)<br>3. <b>Épreuves spécifiques</b>"
"Quels sont les 4 grands modèles historiques de l'intelligence en psychologie différentielle ?";"1. <b>Spearman</b> : facteur g + facteurs spécifiques (modèle bifactoriel).<br>2. <b>Thurstone</b> : 7 dimensions indépendantes, pas de facteur g.<br>3. <b>Cattell & Horn</b> : Gf + Gc corrélées (reconnaissent g mais s'y arrêtent).<br>4. <b>CHC (Cattell-Horn-Carroll)</b> : facteur g + dimensions larges + épreuves spécifiques (modèle hiérarchique actuel)."
"Quelle est la différence entre l'approche de Binet et celle de Wechsler ?";"<b>Binet</b> : cible les enfants. Mesure l'écart âge mental / âge réel. QI = (âge mental / âge réel) × 100 (formule de Stern). Pas utilisable pour les adultes.<br><b>Wechsler</b> : 3 échelles (WPPSI 3-8 ans, WISC 6-17 ans, WAIS 16-89 ans). Calcul par <b>standardisation</b> : comparaison au groupe de référence (moyenne = 100, écart-type = 15). Épreuves verbales + épreuves de performance."
"Qu'est-ce que la standardisation (étalonnage) dans le calcul du QI Wechsler ?";"Situer le score d'un individu en référence aux scores d'un <b>échantillon de référence</b> du même âge. La distribution des scores suit une <b>courbe de Gauss</b>. Moyenne = QI 100. Chaque écart-type vaut 15 points de QI : QI 115 = +1 ET ; QI 85 = -1 ET ; QI 130 = +2 ET ; QI 70 = -2 ET."
"Qu'est-ce que l'effet Flynn ?";"Augmentation du <b>QI moyen d'une génération à l'autre</b> au cours du XXème siècle (environ 3 points par décennie). Il affecte surtout la partie gauche de la distribution (moins d'individus à très bas QI). Principales causes : amélioration de la <b>santé</b> (ex. réduction syndrome d'alcoolisme fœtal) et de la <b>nutrition</b> (ex. ajout d'iode dans le sel). L'effet Flynn a <b>cessé ou légèrement décliné</b> depuis les années 2000 dans plusieurs pays développés."
"Quel est l'effet du niveau socioculturel (NSC) sur l'intelligence des enfants ?";"Corrélation entre NSC des parents et QI des enfants : <b>r = .30 à .35</b>. Différence moyenne entre enfants de milieux favorisés vs défavorisés ≈ 15 points de QI (1 écart-type). La corrélation est plus forte avec l'<b>intelligence cristallisée</b> (vocabulaire : .46) qu'avec l'intelligence fluide (raisonnement : .23). Facteur le plus prédictif : <b>nombre de livres à la maison</b> (PISA)."
"Qu'est-ce que l'inventaire HOME et que mesure-t-il ?";"L'inventaire HOME évalue la qualité de l'<b>environnement familial</b> : stimulation langagière, nombre et variété des jouets, espace physique, climat affectif. Exemples : la mère parle spontanément à l'enfant, la mère n'élève pas la voix, nombre de livres, surface par habitant. Corrélation avec le développement cognitif : r = .25 à 12 mois, r = .58 à 24 mois. Héritabilité ≈ 40%."
"Quel est l'Abecedarian Project et quels sont ses résultats ?";"Étude d'intervention (1977) : 111 enfants de milieux défavorisés répartis en groupe contrôle et groupe expérimental (crèche d'élite, 1 éducateur pour 3-6 enfants, programmes individualisés axés sur le langage, de 1 à 5 ans).<br>Résultats :<br>À 3 ans : QI = 101 (E) vs 84 (C)<br>À 12 ans : 50% de réduction d'échec scolaire<br>À 21 ans : études supérieures 36% (E) vs 13% (C)<br>À 30 ans : niveau bac+4 : 23% vs 6%"
"Quel est l'effet de la taille de la famille et du rang de naissance sur l'intelligence ?";"1. <b>Taille de la famille</b> : corrélation négative r = -.20 à -.30 avec le QI (plus de frères/sœurs → légèrement moins bons scores).<br>2. <b>Rang de naissance</b> : les aînés ont légèrement de meilleures performances, mais l'effet est négligeable (d < .10, différence max de 1,5 point entre aîné et 9ème).<br>3. <b>Effet tuteur</b> : l'aîné d'une fratrie de 2 a les meilleures performances car enseigner à son cadet stimule son propre développement."
"Quelle est la définition consensuelle de la personnalité (Wilt & Revelle, 2015) ?";"« La personnalité d'un individu représente le niveau de cet individu sur un ensemble de traits (ex. : optimisme, persévérance, curiosité). »<br>Un trait de personnalité consiste en 3 éléments :<br>1. Une caractéristique <b>cognitive, comportementale ou affective</b><br>2. <b>Relativement stable d'une situation à l'autre</b><br>3. <b>Relativement stable dans le temps</b>"
"Existe-t-il vraiment des traits de personnalité stables ? Que disent les faits ?";"Oui. Des centaines d'études test-retest montrent des corrélations de <b>r = .60 à .80</b> entre deux évaluations d'un même trait à 1 an d'écart. Synthèse : 152 études, 50 207 participants, 3 217 coefficients de corrélation → corrélations test-retest autour de .70-.80 chez l'adulte. ⚠️ « Relativement stable » ≠ « parfaitement stable » : des événements de vie importants ou une thérapie peuvent modifier la personnalité."
"Qu'est-ce que l'approche lexicale de la personnalité (Allport & Odbert, 1936) ?";"Postulats : les communautés humaines ont développé des mots pour décrire la personnalité (essentiel à la vie sociale). Ces mots se trouvent dans les <b>dictionnaires</b>. Allport & Odbert identifient ~4 500 mots de personnalité en anglais.<br>3 étapes :<br>1. Lister tous les mots de personnalité dans le dictionnaire.<br>2. Supprimer les <b>synonymes conceptuels</b> (réflexion).<br>3. Supprimer les <b>synonymes psychologiques</b> (analyse factorielle sur questionnaires)."
"Quels sont les 5 grands traits de personnalité du Big Five (OCEAN) ?";"1. <b>Ouverture</b> (ouverture à l'expérience, curiosité intellectuelle)<br>2. <b>Conscienciosité</b> (caractère consciencieux, organisation, persévérance)<br>3. <b>Extraversion</b> (sociabilité, énergie, positivité)<br>4. <b>Agréabilité</b> (altruisme, coopération, bienveillance)<br>5. <b>Névrosisme</b> (instabilité émotionnelle, difficulté à réguler ses émotions → tendance aux émotions négatives)"
"Comment le névrosisme et l'extraversion se relient-ils à la typologique d'Hippocrate ?";"En croisant les deux dimensions :<br>- <b>Peu extraverti + stable</b> → flegmatique<br>- <b>Peu extraverti + instable</b> → bileux (mélancolique)<br>- <b>Très extraverti + stable</b> → sanguin<br>- <b>Très extraverti + instable</b> → colérique<br>Différence : Hippocrate propose des <i>types</i> (catégories), alors que la psychologie différentielle travaille avec des <i>dimensions</i> (continuums)."
"Pourquoi la cognition est-elle dite « motivée » ?";"1. Les individus tendent à croire ce qu'ils ont <b>envie</b> de croire (ex. : surestimation du QI de 30 points en moyenne, 37 pour le partenaire).<br>2. Les individus tendent à croire ce qu'ils <b>croient déjà</b> : les méfiants interprètent les actes altruistes comme intéressés, les confiants comme désintéressés (même histoires lues). → Les aspects conatifs déforment la cognition."
"Quelle est la différence entre étude inter-individuelle et étude intra-individuelle ?";"<b>Inter-individuelle</b> (classique) : comparer les individus entre eux sur une dimension (ex. : qui est le plus extraverti ?).<br><b>Intra-individuelle</b> (plus récente) : étudier comment un même individu varie dans le temps ou selon les situations (ex. : comment mon niveau de stress fluctue dans ma journée ?). Les deux peuvent se combiner : différences inter-individuelles <i>dans la forme</i> des variations intra-individuelles."
"Qu'est-ce que le raisonnement inductif et pourquoi est-il central dans l'intelligence ?";"Capacité à <b>identifier des régularités</b> dans l'environnement et à en inférer les règles sous-jacentes, puis à les appliquer à de nouvelles situations. Correspond chez Spearman à l'<b>éduction de relations</b> (découvrir la règle) et à l'<b>éduction de corrélats</b> (appliquer la règle). Évalué par les <b>matrices de Raven</b> (très corrélées avec le facteur g)."
"Quelles sont les épreuves clés de la WAIS (Wechsler) et ce qu'elles mesurent ?";"<b>Épreuves verbales (Gc)</b> : vocabulaire, compréhension, similitudes → connaissances, culture, intelligence cristallisée.<br><b>Épreuves de performance (Gf + visuo-spatial)</b> :<br>- Cubes : habiletés visuo-spatiales<br>- Matrices : raisonnement inductif (Gf)<br>- Codes : vitesse de traitement<br>- Symboles : vitesse de traitement<br>- Identification de concepts : combine Gf + Gc → très corrélée avec le facteur g"
"Pourquoi le facteur g peut-il « disparaître » selon la population étudiée ?";"Le facteur g est <b>induit</b> des corrélations observées dans une population diverse. Si on étudie une population homogène (ex. : tous des étudiants brillants = élite intellectuelle), les différences de niveau général s'effacent et seules les différences sur des dimensions spécifiques restent visibles → <b>pas de facteur g</b> apparent (c'est ce que Thurstone a observé)."
