#separator:Semicolon
#html:true
#notetype:Basic
#deck:Psychologie du Développement
#tags:psychologie-developpement

Question;Réponse
Qu'est-ce qu'une <b>tâche de conservation</b> et comment est-elle organisée ?;Tâche qui met en évidence la compréhension des <b>invariants</b> (quantités stables malgré les transformations perceptives).<br>3 étapes : <b>constat d'égalité</b> → <b>transformation perceptive</b> (sans changer la quantité) → <b>question de conservation + justification + contre-suggestion</b>.
Qu'est-ce que les <b>opérations concrètes</b> selon Piaget ?;Actions intériorisées, <b>réversibles</b> et coordonnées en structures totales, portant directement sur des objets réels.<br>Types : logico-mathématiques (nombre, classification, sériation) et infralogiques (substances, poids, volumes).
Qu'est-ce que le <b>groupe INCR</b> (pensée formelle) ?;Système de transformation logique coordonnant 4 opérations :<br><ul><li><b>I</b> = opération directe</li><li><b>N</b> = Négation/Inversion</li><li><b>R</b> = Réciproque/Compensation</li><li><b>C</b> = Corrélative (inverse de la réciproque)</li></ul>Apparaît vers 12 ans avec la coordination des deux formes de réversibilité.
Quelle différence entre <b>constructivisme</b> et <b>socio-constructivisme</b> ?;<b>Constructivisme</b> (Piaget) : interaction Individu ↔ Objet → conflit cognitif → développement.<br><b>Socio-constructivisme</b> : interaction Individu ↔ Objet ↔ Autrui → <b>conflit socio-cognitif</b> → développement.<br>Pour les socio-constructivistes, <b>l'apprentissage précède le développement</b>.
Qu'est-ce que la <b>Zone Proximale de Développement (ZPD)</b> selon Vygotsky ?;Écart entre ce que l'enfant peut faire <b>seul</b> (développement actuel) et ce qu'il peut faire <b>avec aide d'un adulte ou d'un pair plus compétent</b>.<br>C'est dans cette zone que l'apprentissage est le plus efficace (étayage, interactions asymétriques).
Qu'est-ce que le <b>conflit socio-cognitif</b> selon Doise et Mugny ?;Conflit entre individus à propos d'un même objet, <b>productif uniquement s'il y a intention de coordination des points de vue</b>.<br>Passage de l'<i>interpsychologique</i> (entre partenaires) à l'<i>intrapsychologique</i> (intériorisé) → progrès cognitif.<br>Conditions : <b>coopération et engagement actif</b> des deux partenaires.
Qu'est-ce que le <b>raisonnement déductif</b> vs <b>inductif</b> ?;<b>Déductif</b> : du général au particulier → conclusion <i>nécessairement vraie</i> si prémisses vraies (démonstratif).<br><b>Inductif</b> : du particulier au général → conclusion <i>probable</i> (probabiliste).<br>Le raisonnement déductif repose sur des règles logiques formelles.
Qu'est-ce que le <b>biais de croyance</b> dans le raisonnement syllogistique ?;Tendance à évaluer la validité logique d'un argument en fonction de sa <b>vraisemblance ou conformité aux croyances personnelles</b>, plutôt qu'en fonction de la logique formelle.<br>→ Plus de difficultés avec les syllogismes conflictuels (logique valide mais conclusion incroyable).
Qu'est-ce que les <b>schémas pragmatiques de raisonnement (SPR)</b> (Cheng & Holyoak, 1985) ?;Ensemble de règles abstraites induites par l'expérience, <b>évoquées par le contexte</b>, stipulant les liens entre une action et une condition.<br>Ex : schéma de <b>permission</b> (si ACTION alors satisfaire PRÉCONDITION) et schéma d'<b>obligation</b>.<br>Les individus donnent des réponses logiques sans utiliser la logique formelle.
Quelle est la définition d'une <b>émotion</b>, d'un <b>sentiment</b> et d'une <b>humeur</b> ?;<ul><li><b>Émotion</b> : réaction brève et intense suite à un déclencheur précis</li><li><b>Sentiment</b> : état affectif plus complexe et durable, sans déclencheur nécessaire</li><li><b>Humeur</b> : état affectif général, peu intense mais de longue durée</li></ul>
Qu'est-ce que la <b>compétence émotionnelle</b> ?;Capacité à <b>identifier, exprimer, comprendre, utiliser et réguler</b> ses émotions et celles d'autrui.<br>Base du développement socio-émotionnel (Denham, 2007).
Quelle est la différence entre <b>émotions primaires</b> et <b>émotions secondaires</b> ?;<b>Émotions primaires</b> : joie, tristesse, peur, dégoût, colère → universelles, génétiquement programmées.<br><b>Émotions secondaires</b> :<br>- Combinaisons d'émotions primaires (ex. nostalgie = joie + tristesse)<br>- <b>Émotions morales</b> (conscientes) : liées à la conscience de soi et d'autrui → apparaissent après 18 mois.
Quelles sont les <b>3 natures d'émotions morales</b> ?;<ul><li>Liées à la <b>souffrance d'autrui</b> (ex. empathie)</li><li>Liées à la <b>louange d'autrui</b> (ex. gratitude)</li><li>Liées à l'<b>auto-conscience de soi</b>, dépendantes du regard des autres (ex. fierté, honte, culpabilité)</li></ul>Apparaissent après 18 mois et nécessitent la théorie de l'esprit.
Comment se développe la <b>régulation émotionnelle</b> selon Gross ?;Stratégies de régulation <b>avant</b> l'émotion (anticipation) : sélection/modification de situation, déploiement attentionnel, changement cognitif.<br>Stratégies <b>après</b> l'émotion : modulation de la réponse.<br>Développement : de l'<b>hétéro-régulation</b> (par l'adulte) → <b>co-régulation</b> → <b>auto-régulation</b>.
Qu'est-ce que l'<b>empathie</b> et comment se développe-t-elle (Decety) ?;<b>Empathie</b> : capacité à percevoir et ressentir l'émotion d'autrui tout en adoptant sa perspective, sans se laisser submerger.<br>Développement :<br>1. Naissance : <b>contagion émotionnelle</b> (neurones miroirs)<br>2. 6-12 mois : empathie égocentrique à la détresse<br>3. 12-18 mois : premières tentatives de consolation<br>4. 18 mois : consolations décentrées<br>5. 3-5 ans : empathie véritable (nécessite TOM et contrôle)
Quelle est la distinction entre <b>relations verticales</b> et <b>relations horizontales</b> (Hartup, 1989) ?;<b>Relations verticales</b> (enfant/adulte) : non réciproques, complémentaires → sécurité, règles, cadre → développement affectif.<br><b>Relations horizontales</b> (avec les pairs) : réciproques, basées sur coopération, intimité, compétition → compétences sociales.<br>Ces deux types sont complémentaires et s'influencent mutuellement.
Quels sont les <b>3 types de comportements</b> dans les interactions sociales ?;<ul><li><b>Affiliatifs</b> : comportements qui transmettent l'intention de se lier (imitation, sourire, jeu)</li><li><b>Prosociaux</b> : comportements qui bénéficient à autrui (aide, partage, réconfort)</li><li><b>Antisociaux</b> : comportements qui nuisent à autrui (agressivité, opposition)</li></ul>
Qu'est-ce que la <b>théorie de l'esprit (TOM)</b> ?;Ensemble des croyances d'un individu qui lui permettent de <b>reconnaître les états mentaux</b> (intentions, croyances, émotions, pensées) d'autrui et de lui-même.<br>Se construit entre 1 et 10 ans. La <b>fausse croyance</b> est acquise vers 4-6 ans (tâche de Maxi : 6-7 ans).
Décrivez l'expérience de <b>Maxi et le chocolat</b> (Wimmer et Perner) sur la fausse croyance.;Maxi place son chocolat dans un placard, puis sort. Sa mère déplace le chocolat.<br>Question : <i>Où Maxi va-t-il chercher son chocolat ?</i><br><b>Avant 4-5 ans</b> : l'enfant indique l'endroit réel (pas de fausse croyance).<br><b>Vers 6-7 ans</b> : réussite → Maxi cherche dans le placard initial (attribue une croyance différente de la sienne).
Quelles sont les <b>3 principales fonctions exécutives</b> selon Miyake et al. (2000) ?;<ul><li><b>Inhibition</b> : bloquer/supprimer les informations ou réponses non pertinentes</li><li><b>Mise à jour en mémoire de travail</b> : modifier le contenu de la MDT selon de nouvelles informations</li><li><b>Flexibilité cognitive</b> : basculer efficacement entre plusieurs tâches ou dimensions</li></ul>Ces fonctions sont différenciables mais liées entre elles.
Qu'est-ce que l'<b>inhibition</b> dans les fonctions exécutives ?;Processus permettant de <b>bloquer ou supprimer des informations ou réponses non pertinentes</b> pour atteindre un objectif.<br>Mesurée par : tâches <b>GO/NoGo</b> (inhibition sélective) et tâches de conflit : <b>Day/Night</b>, <b>Flankers</b>, <b>Stroop</b>.<br>Se développe fortement entre <b>3 et 8 ans</b>.
Quelle est la différence entre <b>contrôle cognitif froid</b> et <b>contrôle cognitif chaud</b> (Zelazo) ?;<b>Froid</b> : fonctions exécutives en contexte affectivement <b>neutre</b>.<br><b>Chaud</b> : fonctions exécutives en contexte <b>chargé émotionnellement</b>.<br>Le développement du contrôle chaud est <b>différé</b> par rapport au froid → plus d'erreurs à tout âge dans les conditions chaudes.
Qu'est-ce que la <b>métacognition</b> et quand apparaît-elle ?;Connaissance et régulation de son propre fonctionnement cognitif (terme de <b>Flavell</b>).<br>Comprend : connaissances métacognitives (sur soi, sur les stratégies) et compétences métacognitives (contrôle).<br>Premières connaissances métacognitives : <b>4-5 ans</b>.
Quelles sont les <b>4 périodes de l'adolescence</b> selon Galvan et al. (2012) ?;<ol><li><b>Début adolescence</b> : 8-12 ans (premiers signes pubertaires)</li><li><b>Mi-adolescence</b> : 13-15 ans (transformations pubertaires importantes)</li><li><b>Fin adolescence</b> : 16-18 ans (achèvement pubertaire)</li><li><b>Post-adolescence</b> : 18-30 ans (acquisition identité adulte)</li></ol>
Qu'est-ce que la <b>théorie Storm and Stress</b> de Stanley Hall ?;Théorie du début du 20e siècle décrivant l'adolescence comme une période de :<br><ul><li><b>Conflits fréquents</b> avec les parents (rébellion)</li><li><b>Perturbations de l'humeur</b> (extrême, fluctuante)</li><li><b>Conduites à risques</b> et dépassement des normes sociales</li></ul>Aujourd'hui <b>remise en question</b> car basée sur des cas peu représentatifs.
Qu'est-ce que la <b>puberté</b> et quels sont ses 3 axes hormonaux ?;Période d'acquisition des <b>capacités reproductives</b> avec transformations physiques.<br>3 axes neuroendocriniens :<br>1. <b>Gonadarche</b> : développement des organes sexuels (GnRH → LH/FSH → Oestrogènes/Testostérone)<br>2. <b>Adrénarche</b> : caractères sexuels secondaires (précède de 2 ans)<br>3. <b>Axe somatotrope</b> : pic de croissance
Comment se développe l'<b>identité</b> à l'adolescence selon Erikson ?;L'adolescent entre dans le stade 5 : <b>Identité vs Confusion de rôles</b>.<br>Il explore son identité personnelle, sociale, sexuelle et ses valeurs.<br>La <b>crise identitaire est normative et structurante</b> → passage de la confusion identitaire à une synthèse identitaire cohérente.
Qu'est-ce que le <b>modèle de Casey (2008)</b> sur le cerveau adolescent ?;Modèle reposant sur un <b>décalage de maturation</b> entre :<br>- <b>Système limbique</b> (amygdale, striatum ventral) : mature tôt → hypersensibilité aux stimuli émotionnels<br>- <b>Cortex préfrontal</b> : maturation tardive (20-25 ans) → contrôle cognitif immature<br>→ Explique les comportements spécifiques à l'adolescence (prise de risque, recherche de récompenses).
Quels sont les <b>6 stades du développement moral</b> de Kohlberg ?;<b>Niveau Préconventionnel</b> (4-10 ans) :<br>1. Évitement des punitions<br>2. Récompense personnelle<br><b>Niveau Conventionnel</b> (11-14 ans) :<br>3. Conformité sociale (groupe proche)<br>4. Maintien de l'ordre légal<br><b>Niveau Post-conventionnel</b> (15-18 ans+) :<br>5. Contrat social et droits individuels<br>6. Principes éthiques universels
Qu'est-ce que l'<b>homophilie</b> dans les relations amicales à l'adolescence ?;Tendance à sélectionner des amis qui nous <b>ressemblent</b> (âge, sexe, valeurs, comportements, goûts).<br>Résulte de 3 processus :<br>1. <b>Sélection</b> des semblables<br>2. <b>Influences réciproques</b> entre l'adolescent et les sélectionnés<br>3. <b>Désélection</b> des pairs différents
Quelle est la différence entre <b>agressivité physique, verbale et indirecte</b> dans le développement ?;<b>Physique</b> : présente dès 1 an, <b>apogée vers 3 ans</b>, puis diminution progressive.<br><b>Verbale</b> : apparaît vers 3-4 ans, puis diminue à l'âge scolaire.<br><b>Indirecte</b> (sociale/relationnelle) : se développe tardivement vers 4-5 ans, plus fréquente chez les filles.<br>Pour Tremblay : l'agressivité ne s'apprend pas, <b>la socialisation sert à la désapprendre</b>.
Qu'est-ce que le <b>harcèlement scolaire</b> et quels sont ses 3 critères (Olweus, 1993) ?;<ul><li><b>Intention de nuire</b></li><li><b>Caractère répétitif</b> des agressions</li><li><b>Déséquilibre de pouvoir</b> entre l'agresseur et la victime</li></ul>Peut être physique, verbal, relationnel, matériel ou numérique (cyberharcèlement).
Quels sont les <b>3 styles parentaux</b> de Baumrind (1971) et leurs caractéristiques ?;<ul><li><b>Démocratique</b> : affection ++ / encadrement ++ / attentes ++ / communication ++ → optimal pour le développement</li><li><b>Autoritaire</b> : affection -- / encadrement ++ / attentes ++ / communication --</li><li><b>Permissif</b> : affection ++ / encadrement -- / attentes -- / communication --</li></ul>Maccoby et Martin (1983) ajoutent : <b>Désengagé-Indifférent</b>.
Qu'est-ce que la <b>catégorisation</b> selon Rosch (1973) et le concept de <b>prototype</b> ?;Rosch : les catégories ne sont pas définies par des propriétés nécessaires et suffisantes, mais par des propriétés <b>probables</b> (valeur diagnostique).<br><b>Prototype</b> : exemplaire possédant le plus de propriétés à haute valeur diagnostique.<br>Organisation <b>horizontale</b> (typicalité) et <b>verticale</b> (niveau de base > sur-ordonné > sous-ordonné).
