#separator:Semicolon
#html:true
#notetype:Basic
#deck:Psychologie Clinique - Freud & Psychanalyse
#tags:psychologie-clinique psychanalyse freud

Question;Réponse
"Quelles sont les instances de la deuxième topique freudienne (1923, Le Moi et le Ça) ?";"<b>Le Ça</b> : pôle pulsionnel, amoral, atemporel, principe de plaisir, réservoir des pulsions, pas d'organisation.<br><b>Le Moi</b> : médiateur entre le Ça, le Surmoi et la réalité. Soumis au principe de réalité. N'est pas inné, se constitue à partir du Ça.<br><b>Le Surmoi</b> : instance qui juge et critique ; héritier du complexe d'Œdipe. Deux fonctions : auto-observation et idéale."
"Comment Freud caractérise-t-il le Ça ?";"« C'est la partie obscure, inaccessible de notre personnalité. » Le Ça est <b>amoral</b> (pas immoral), atemporel, sans organisation, dominé par le principe de plaisir. Toute énergie psychique en provient. Il est le réservoir des pulsions."
"Comment Freud caractérise-t-il le Moi dans la deuxième topique ?";"Le Moi est l'effet de la modification d'une partie du Ça sous l'influence du monde extérieur. Il <b>n'est pas inné</b>. Il se constitue à partir de <b>précipités d'objets abandonnés</b> (identifications multiples). Son rôle : médiateur entre les revendications du Ça, les impératifs du Surmoi et les exigences de la réalité. Il est soumis au principe de réalité."
"Quelles sont les deux fonctions du Surmoi ?";"1. Fonction <b>d'auto-observation</b> : il juge, critique, surveille (rien ne lui échappe, même la pensée peut valoir pour l'acte).<br>2. Fonction <b>idéale</b> : exigence d'un comportement idéal (l'Idéal du Moi = « celui auquel le Moi se mesure, auquel il aspire »).<br>Il est l'héritier du complexe d'Œdipe. Peut devenir hypermoral et cruel (ex. mélancolie)."
"Freud dit : « Le Ça est amoral, le Moi s'efforce d'être moral, le Surmoi peut devenir hypermoral et aussi cruel que seul peut l'être le Ça. » Quelle est la signification de cette formule ?";"Elle souligne que le <b>Surmoi n'est pas simplement une instance morale socialisante</b>. Il peut, dans sa dimension tyrannique, se déchaîner contre le Moi de façon cruelle (exemple clinique : la mélancolie, où le Surmoi se retourne contre le Moi). La morale intériorisée peut devenir destructrice."
"Quelle est la différence fondamentale entre pulsion (Trieb) et instinct ?";"L'<b>instinct</b> est un comportement stéréotypé, invariant, inné, orienté vers une finalité précise (reproduction de l'espèce).<br>La <b>pulsion</b> (Trieb) est un concept limite entre le somatique et le psychique. Son objet est variable, elle n'est pas préformée, et elle n'est pas orientée vers la reproduction. C'est cette différence qui permet à Freud de penser la <b>sexualité infantile</b>."
"Quelle est la définition de la pulsion chez Freud ?";"« Un représentant psychique d'une source continue d'excitation provenant de l'intérieur de l'organisme. » La pulsion est un concept limite entre le somatique et le psychique. Caractéristiques : <b>force constante</b>, ne peut être supprimée par la fuite, exige un <b>travail psychique</b> pour trouver satisfaction."
"Quels sont les 4 aspects constitutifs de la pulsion ?";"1. La <b>source</b> : zone érogène du corps d'où provient l'excitation.<br>2. La <b>poussée</b> : aspect dynamique et quantitatif, pression constante qui commande à l'action.<br>3. Le <b>but</b> : la satisfaction (décharge de la tension, obtention du plaisir).<br>4. L'<b>objet</b> : ce par quoi la pulsion cherche à atteindre son but. C'est l'aspect le <b>plus variable</b>."
"Qu'est-ce que le premier dualisme pulsionnel (1905) ?";"Freud oppose dans les <i>Trois essais sur la théorie sexuelle</i> :<br>- <b>Pulsions sexuelles</b> (au service de l'obtention du plaisir sexuel)<br>- <b>Pulsions d'auto-conservation / pulsions du Moi</b> (au service de la survie de l'individu)<br>En résumé : <i>« faim ou amour »</i>. Les pulsions sexuelles s'étayent sur les pulsions d'auto-conservation."
"Qu'est-ce que le deuxième dualisme pulsionnel (1920, Au-delà du principe de plaisir) ?";"Freud regroupe pulsions du Moi et pulsions sexuelles dans les <b>pulsions de vie (Éros)</b> (tendent à conserver la vie, cherchent l'unification, répondent au principe de plaisir).<br>Opposées aux <b>pulsions de mort (Thanatos)</b> : visent le retour à l'inanimé, répondent au principe de Nirvana (décharge totale). Toutes nos manifestations sont un <b>alliage</b> des deux."
"Qu'est-ce que la sexualité infantile et pourquoi Freud parle-t-il d'« enfant pervers polymorphe » ?";"La sexualité infantile = l'érogénéité du corps de l'enfant : tension qui s'accumule dans plusieurs zones érogènes, rencontre avec des objets partiels, satisfaction partielle.<br><b>Pervers</b> : sous l'emprise de pulsions partielles.<br><b>Polymorphe</b> : explore de multiples zones érogènes. Ce n'est pas une pathologie mais une étape normale du développement."
"Comment fonctionne l'étayage de la pulsion sexuelle orale ?";"L'enfant tète le sein pour se nourrir (pulsion d'auto-conservation). La répétition crée une satisfaction liée à la zone bucco-labiale. Progressivement, l'enfant stimule cette zone sans chercher à se nourrir (ex. sucer son pouce).<br>→ La pulsion sexuelle orale <b>s'étaye</b> sur la pulsion d'auto-conservation, puis s'en <b>affranchit</b>."
"Quelles sont les 3 phases de l'évolution sexuelle selon la théorie du narcissisme (1914) ?";"1. <b>Phase auto-érotique</b> : pulsions partielles indépendantes, plaisir cherché sur le corps propre.<br>2. <b>Narcissisme primaire</b> : unification des pulsions partielles, le corps propre est pris comme objet d'amour, le Moi est unifié.<br>3. <b>Investissement du monde extérieur</b> : premiers investissements d'objet (libido d'objet)."
"Qu'est-ce que le narcissisme secondaire ?";"Le retour de la libido sur le Moi après un investissement d'objet. Par opposition au narcissisme primaire (premier investissement du Moi avant l'investissement d'objet). La libido peut investir soit un <b>objet extérieur</b> (libido d'objet) soit le <b>Moi</b> lui-même (libido narcissique)."
"Quels sont les ouvages-clés de Freud avec leurs dates ? (liste minimale)";"<b>1895</b> : Études sur l'hystérie (avec Breuer)<br><b>1900</b> : L'Interprétation du rêve<br><b>1901</b> : Psychopathologie de la vie quotidienne<br><b>1905</b> : Trois essais sur la théorie sexuelle<br><b>1909</b> : L'Homme aux rats (névrose obsessionnelle)<br><b>1914</b> : Pour introduire le narcissisme<br><b>1915</b> : Métapsychologie (pulsions, refoulement, inconscient)<br><b>1920</b> : Au-delà du principe de plaisir<br><b>1923</b> : Le Moi et le Ça"
"Comment se forme le rêve selon Freud ? (contenu manifeste vs latent)";"Le rêve a deux niveaux :<br><b>Contenu manifeste</b> : le rêve tel qu'il est raconté (forme brute).<br><b>Contenu latent</b> : le sens caché, accessible par association libre.<br>Pour Freud : le rêve est la <b>réalisation hallucinatoire d'un désir refoulé</b> (« accomplissement déguisé d'un souhait refoulé »). C'est la « voie royale d'accès à l'inconscient »."
"Quels sont les 6 mécanismes du travail du rêve ?";"1. <b>Disfraction</b> : décomposition d'un objet en plusieurs représentations/personnages (camouflage).<br>2. <b>Condensation</b> : fusion de plusieurs éléments en un seul.<br>3. <b>Déplacement</b> : les pensées importantes sont remplacées par des accessoires.<br>4. <b>Figuration</b> : transformation des pensées en images visuelles.<br>5. <b>Élaboration secondaire</b> : le rêve prend la forme d'un scénario cohérent.<br>6. <b>Dramatisation</b> : transformation d'une pensée en situation scénique."
"Pourquoi Freud remet-il en cause son propre modèle du rêve (3 raisons) ?";"1. <b>Raison phylogénétique</b> : rêver n'est pas inné, c'est une fonction acquise grâce à l'environnement.<br>2. <b>Raison interactionnelle</b> : il existe une interdépendance onirique entre patient et thérapeute.<br>3. <b>Raison situationnelle</b> : le modèle ignore la dimension dynamique et relationnelle de l'individu (Meltzer, Klein, Bion)."
"Quelle est la conception du rêve chez Bion ?";"Pour Bion (1962-1963), le rêve est le <b>premier état dans la formation de la pensée</b>. Il donne forme aux expériences émotionnelles et tisse des liens entre la vie fantasmatique et la réalité externe. C'est une forme de pensée primaire qui permet l'avènement des fonctions cognitives."
"Quelle est la définition de la névrose en psychanalyse ?";"« Affection psychogène où les symptômes sont l'expression symbolique d'un <b>conflit psychique</b> trouvant ses racines dans l'<b>histoire infantile</b> du sujet et constituant des <b>compromis entre le désir et la défense</b>. »<br>Le symptôme = symbole d'un conflit <i>et</i> compromis. Il est le produit d'un refoulement qui a partiellement échoué (retour du refoulé)."
"Quelle est la première nosographie freudienne des névroses ? (avant 1897)";"Opposition entre :<br><b>Névroses actuelles</b> (névrose d'angoisse, neurasthénie, hypocondrie) : origine somatique, symptômes non symboliques, conflits sexuels actuels.<br><b>Psychonévroses de défense</b> (hystérie, obsession, phobie + psychoses hallucinatoires) : origine psychique, symptômes symboliques, conflit sexuel infantile passé."
"Quelles sont les 3 différences entre névrose actuelle et psychonévrose de défense ?";"1. <b>Défense</b> : dans la névrose actuelle, le symptôme n'est pas le résultat d'une défense psychique. Dans la psychonévrose, il l'est.<br>2. <b>Temporalité</b> : névrose actuelle = conflit présent ; psychonévrose = conflit sexuel infantile passé.<br>3. <b>Symbolisme</b> : névrose actuelle = symptômes non symboliques ; psychonévrose = symptôme = symbole d'un traumatisme passé."
"Quel est le trajet commun des 4 temps conduisant aux psychonévroses de défense ?";"1. <b>Surgissement</b> d'un événement/sentiment sexuel inconciliable avec le Moi.<br>2. Le Moi cherche à traiter l'événement comme s'il n'était jamais arrivé, impossible car trace mnésique existante.<br>3. <b>Séparation représentation / affect</b> : la représentation est refoulée, l'affect reste seul → devient angoisse.<br>4. <b>Destin de l'affect</b> : diffère selon la pathologie (hystérie, phobie, obsession)."
"Comment l'affect se différencie-t-il entre hystérie, phobie et névrose obsessionnelle ?";"Dans les 3 cas, représentation et affect se séparent. L'affect seul devient angoisse, mais son destin diffère :<br><b>Hystérie</b> : l'affect est converti en innervation corporelle (<i>conversion</i>, « complaisance somatique »).<br><b>Phobie</b> : l'affect se déplace et se fixe sur un objet phobique (« fausses connexions »).<br><b>Névrose obsessionnelle</b> : l'affect se déplace sur une représentation voisine non inconciliable."
"Qu'est-ce que la deuxième nosographie freudienne (1914-1915) ?";"Freud distingue :<br><b>Psychonévroses de transfert</b> (hystérie, phobie, obsession) : la libido est susceptible d'être transférée sur l'analyste → cure analytique possible.<br><b>Psychonévroses narcissiques</b> (psychoses) : libido retirée dans le Moi, pas d'investissement d'objet → <i>pas</i> de transfert → cure impossible pour Freud (position qui évoluera)."
"Quelle est la troisième nosographie freudienne (1923-1924) basée sur les conflits du Moi ?";"Avec la seconde topique, Freud repense les pathologies selon avec quelle instance le Moi est en conflit :<br><b>Névrose de transfert</b> (hystérie, phobie, obsession) = conflit <b>Moi / Ça</b><br><b>Névrose narcissique</b> (mélancolie) = conflit <b>Moi / Surmoi</b><br><b>Psychose</b> (schizophrénie, paranoïa) = conflit <b>Moi / monde extérieur</b>"
"Qu'est-ce que le refoulement et quels sont ses 3 temps ?";"Opération défensive par laquelle le sujet <b>repousse ou maintient dans l'inconscient</b> des représentations liées à la pulsion dont la satisfaction provoquerait du déplaisir.<br>1. <b>Refoulement originaire</b> : crée l'inconscient comme lieu séparé.<br>2. <b>Refoulement secondaire</b> : double mouvement (répulsion du conscient + attraction par le refoulement originaire).<br>3. <b>Retour du refoulé</b> : retour déguisé sous forme de formations de compromis."
"Quelles sont les 4 formations de compromis (retour du refoulé) ?";"1. Le <b>rêve</b><br>2. Le <b>lapsus</b><br>3. Les <b>actes manqués</b><br>4. Les <b>symptômes névrotiques</b><br>Ces formations expriment un désir refoulé qui fait retour de manière déguisée."
"Quels sont les 4 destins possibles d'une pulsion (1915, Pulsions et destins des pulsions) ?";"1. <b>Renversement en son contraire</b> (ex. aimer → haïr)<br>2. <b>Retournement sur la personne propre</b> (ex. « ce n'est pas lui que je déteste, c'est moi »)<br>3. <b>Refoulement</b><br>4. <b>Sublimation</b>"
"Qu'est-ce que la différence entre névrose et psychose dans la première théorie de Freud (1894) ?";"Dans la <b>névrose</b> : défense par séparation représentation/affect. La représentation affaiblie reste dans l'inconscient. Le symptôme est un symbole d'un conflit.<br>Dans la <b>psychose</b> : défense plus radicale (« rejet »). Le moi rejette la représentation <i>insupportable</i> (vs inconciliable) avec son affect « comme si elle n'était jamais parvenue jusqu'au moi »."
"Qu'est-ce que le transfert selon Freud ?";"Le transfert est « la répétition dans le présent d'une relation fantasmique appartenant au passé dont le patient est complètement dupe ». Il peut être positif ou négatif. Il est à la fois un <b>obstacle et un levier à la cure</b>. Il est la condition nécessaire de la cure dans les névroses de transfert."
"Qu'est-ce que la névrose obsessionnelle selon la définition freudienne ?";"Affection psychogène (psychonévrose de défense) où l'affect issu de la séparation représentation/affect se <b>déplace sur une représentation voisine non inconciliable</b>. Le conflit sexuel infantile se retrouve dans les symptômes obsessionnels (doutes, compulsions, rituels). Elle est liée aux pulsions partielles : pulsion de regarder et pulsion anale."
"Qui est Ernst Lanzer (L'Homme aux rats) et pourquoi ce cas est-il important ?";"Ernst Lanzer (1878-1914), bourgeois viennois, présente une névrose obsessionnelle avec peur des rats, pensées obsédantes liées à la mort de figures aimées, compulsions rituelles. Il consulte Freud en 1907 (4 mois de traitement). Ce cas illustre : le conflit amour-haine, la culpabilité, l'ambivalence, le rôle de la sexualité infantile (attouchements à 5 ans), et le mécanisme de condensation/déplacement dans l'obsession."
"Qu'est-ce que la « caricature mi-comique mi-tragique d'une religion privée » selon Freud ?";"Freud (1907) établit une analogie entre <b>le cérémonial obsessionnel et le rite religieux</b> : remords anxieux en cas d'omission, isolement, scrupulosité dans l'exécution du détail. Il découvre que les traits de caractère des obsessionnels (ordre, économie, entêtement) sont la sublimation de l'érotisme anal."
"Qu'est-ce que la différence entre clinique du regard et clinique de la parole ?";"Au XIXe siècle : <b>clinique du regard</b> = repérer des <i>signes</i> organiques.<br>Freud inaugure la <b>clinique de la parole</b> : s'intéresser aux <i>symptômes</i>, c'est-à-dire à ce que <i>dit</i> le patient. En psychanalyse, le diagnostic se pose à partir de la <b>logique inconsciente du désir</b> dont le symptôme témoigne. La vérité psychique prime sur l'exactitude des faits."
"Quelle est la position de Freud sur la guérison en psychanalyse ?";"Le symptôme a une <b>fonction de compromis</b> dans un conflit psychique. Faire disparaître le symptôme ne peut pas être la visée simple de la cure, car cela reviendrait à supprimer ce qui permet au sujet de supporter un conflit intérieur. La psychanalyse vise la logique inconsciente qui produit le symptôme, pas sa disparition directe."
"Quelle est la signification du terme Wissenschaft (science) pour Freud ?";"Freud inscrit la psychanalyse dans les sciences de la nature (Wissenschaft) :<br>1. Acquisition d'un ensemble de connaissances.<br>2. Ces connaissances peuvent être articulées de manière cohérente.<br>3. Un principe d'ordonnancement les organise.<br>Il refuse d'en faire une science de l'esprit (risque de jugements moraux). La psychanalyse doit approcher ses objets avec la même rigueur que les sciences naturelles."
"Qu'est-ce que le principe de plaisir vs le principe de réalité ?";"<b>Principe de plaisir</b> : l'appareil psychique vise la décharge de tension (plaisir = diminution de tension ; déplaisir = augmentation). Il commande d'obtenir le plaisir par les voies les plus courtes.<br><b>Principe de réalité</b> : régulateur qui exige que la satisfaction soit inhibée en fonction des conditions matérielles de la réalité. Il gouverne le système PCS-CS."
"Qu'est-ce que le complexe d'Œdipe pour Freud ?";"Structure fondamentale faisant émerger deux prototypes du désir inconscient :<br>1. <b>Désir incestueux</b> : recherche d'exclusivité du lien (attraction pour le parent de sexe opposé).<br>2. <b>Désir parricidaire</b> : rivalité/violence envers le parent de même sexe.<br>Ces désirs ont pour destin d'être articulés aux interdits (castration). Le Surmoi est l'<b>héritier du complexe d'Œdipe</b>."
"Pourquoi dit-on que le rêve de l'injection faite à Irma est fondateur ?";"C'est le premier rêve analysé par Freud (auto-analyse après la mort de son père). Il y repère que le personnage d'Irma figure sa culpabilité vis-à-vis d'Emma (patiente mal orientée vers Fliess). Ce rêve lui permet de comprendre que les rêves expriment les <b>conflits internes et affects inconscients</b> du sujet, et oriente toute sa théorie du rêve."
